season,episode,clip,text,label,video_description
S05,E06,229,thank you.,Thank,"A woman in a black robe and glasses gestures with her right hand while speaking. She appears to be explaining something to three people in costumes: a cowboy, a girl in a pink hat, and a person in an avocado suit. The others are listening attentively."
S05,E17,95,"oh, hey, glenn.",Greet,"A woman in a green shirt kneels by a blue playpen, smiling as she interacts with a baby inside. Her body language is warm and nurturing. In the background, a mannequin stands on a trampoline, and another employee in a green shirt is visible."
S05,E08,489,"glenn, take this down. sandra, keep going.",Arrange,"A woman in a blue polo shirt, identified as Dina, stands and speaks authoritatively. She holds a clipboard and gestures with her right hand, pointing her index finger. Her expression is serious and commanding as she gives instructions to others in the room."
S05,E11,487,"jonah, i wasted my afternoon in that meeting just to go along with your new cause",Complain,"A woman in a black blazer speaks with exasperation to a man in a blue vest. Her expression is one of frustration as she complains about wasting her time. The man listens, his expression shifting from neutral to slightly surprised as he looks at her."
S05,E07,189,anyone who ripped up their workbook has failed.,Inform,"A woman in a blue polo shirt stands authoritatively, hands on her hips, delivering a stern announcement to a group. She is flanked by a man in a dark sweater who stands with his hands clasped, listening intently."
S04,E07,301,"why didn't you just shout,  hey glenn",Complain,"A man in a white shirt and cloud-patterned tie sits, holding a white object to his forehead. He looks up and to the side with a confused expression, then raises his left hand in a questioning gesture. A woman in a blue vest sits beside him, facing him, seemingly engaged in the conversation."
S05,E11,149,"never forget how fun you are, jonah.",Taunt,"The man in the light blue lab coat speaks with a gentle, smiling expression. He gestures with his right hand, touching his lapel. His body is angled towards the other man, indicating a friendly and engaging conversation."
S05,E13,15,"um, and jonah and justine, you get to help out tomorrow when the rest of the shipment comes in.",Arrange,"A man in a light blue shirt and cloud-patterned tie stands before a group, holding a blue clipboard. He smiles broadly, then points his pen forward with a cheerful expression, addressing the audience."
S05,E21,16,"you're smart, hardworking",Praise,"A woman in a blue polo shirt stands with her hands on her hips, looking down and speaking. Her expression is serious and focused. The person she is addressing is only partially visible from behind, suggesting a direct, one-on-one conversation."
S05,E13,80,that's crazy. you can't do that.,Prevent,"A man in a blue lab coat stands in the doorway, holding the door handle. He looks toward a woman at her desk, who is speaking and gesturing with her hands. The man's expression is neutral as he listens to her."
S04,E04,57,i'm doing very well.,Flaunt,"A woman in a police costume smiles and clasps her hands, appearing pleased. A man in a white hat stands beside her, holding a clipboard and looking at her with a neutral expression. They are interacting in a casual, friendly manner."
S05,E07,34,"great, thanks. also, did you know",Thank,"A woman in a blue blazer sits at her desk, speaking animatedly. She holds a pen and gestures with her hands, her facial expression conveying a mix of surprise and emphasis as she explains something to someone off-screen."
S04,E09,398,and such a massive waste of time,Complain,"The standing man, in a grey jacket and beanie, has his hands on his hips, looking down at the seated man with a skeptical and slightly exasperated expression. The seated man, in a quilted jacket, sits with his hands clasped, listening with a pensive and slightly weary look. Their interaction appears to be a serious, one-sided conversation."
S05,E07,603,so maybe marcus could join us?,Advise,"A woman in a car, identified as Shareen, speaks with a hopeful and slightly pleading expression. Her mouth is open mid-sentence, and her eyes are wide as she looks toward the passenger seat, suggesting she is making a suggestion or asking a question to someone off-camera."
S05,E08,126,you can donate to our toy drive.,Advise,"The woman in the blue blazer gestures with open palms, speaking animatedly. The man in the striped sweater smiles and gestures towards her, actively participating in the conversation. The man in the vest listens, holding a camera, while the fourth person stands with his back to the camera."
S05,E18,328,"and you've taken him to a doctor, and he's doing fine?",Care,"A man in a light blue shirt and patterned tie sits in a folding chair, speaking with a concerned expression. He gestures with his hands as he talks to another man in a blue vest who is partially visible. The interaction appears to be a serious conversation, possibly about a child's health."
S05,E10,491,"sure, thanks.",Thank,"A woman in a grey coat and light blue scarf stands smiling, looking down and to her left. She appears to be listening to someone off-screen. Her expression is pleasant and engaged, suggesting a positive and friendly interaction."
S05,E11,256,but i could really use the help.,Ask for help,"A woman in a black blazer speaks animatedly to a male store employee. She gestures with both hands, palms open, as she talks. Her expression is earnest and pleading. The employee, wearing a blue vest, listens with a neutral, slightly concerned expression, his hands clasped in front of him."
S05,E11,93,"garrett, do you mind if i use your phone?",Ask for help,"A woman in a blue polo shirt stands with a man in a dark uniform. She holds a clipboard and looks at him with a neutral expression. The man stands with his hands clasped, looking forward with a serious, attentive expression."
S04,E16,287,he's been spotted in the vicinity.,Inform,"A woman in a blue polo shirt stands at a store counter, holding a phone to her ear. She listens intently, her expression focused and serious. Her body is angled slightly away from the counter, suggesting she is engaged in a work-related conversation."
S06,E02,503,how's the search going?,Care,"A woman in a blue polo shirt sits on a truck's tailgate, holding a beer bottle. She smiles and gestures with her free hand while talking to a woman in a brown jacket who is stepping into the truck bed. Their interaction appears friendly and relaxed."
S05,E16,358,why don't you buy the dryer balls?,Advise,"A man in a wheelchair, wearing a blue vest, listens as another man in a dark jacket stands beside him. The standing man gestures with his right hand while speaking, his expression appearing to be one of explanation or persuasion."
S05,E06,287,"elias did a great job with the crepe paper, though.",Praise,"A chef in a white uniform stands facing a man in a brown leather jacket and fedora. The seated man, with a beard and a small cut on his cheek, gestures with his right hand while speaking. The chef listens, his expression neutral."
S05,E09,182,don't worry about it.,Comfort,"A man in a light blue lab coat stands behind a counter, holding a cup. He gestures with his free hand while speaking to a woman with her back to the camera. His expression is calm and reassuring as he says, ""Don't worry about it."""
S04,E03,387,these customers are so handsome.,Praise,"A woman in a blue vest speaks with a concerned expression, her eyebrows raised and mouth open. A man in a light blue shirt stands beside her, holding a clipboard and listening with a slight smile. Their interaction appears to be a workplace discussion, with the woman conveying worry and the man listening supportively."
S05,E08,100,"no, things are good.",Comfort,"A young woman in a pink sweater and blue vest stands with a serious, slightly concerned expression. She is speaking to a bald man in a blue apron who is smiling and looking down at papers on a counter."
S05,E17,555,"bye, jonah.",Leave,"A man in a grey sweatshirt stands at a checkout counter, smiling and speaking to two employees. The female cashier, wearing a green shirt, smiles back warmly. The male cashier, also in a green shirt, looks on with a neutral expression. The interaction is friendly and positive."
S04,E06,155,i've never been so tired.,Complain,"A woman in a store vest, pushing a cart, speaks with a weary expression. She looks toward a man beside her, who is partially visible. Her body language is relaxed but tired, suggesting a conversation about exhaustion."
S05,E08,17,"hi, i'm mateo liwanag",Introduce,"A man in a striped sweater and glasses stands in a store, smiling and speaking. He turns his head slightly, his expression shifting from a broad smile to a more neutral, thoughtful look as he talks."
S06,E09,229,it's actually super distracting.,Complain,"A man in a dark uniform stands at a table, looking down at a small object in his hands. He appears focused and slightly concerned. Two colleagues, a woman in a blue shirt and a man in a white shirt, stand beside him, observing his actions with neutral expressions."
S05,E06,386,"amazing. thank you, dina.",Thank,"A woman in a judge's robe smiles and gestures with her right hand as she speaks to a woman in a police officer's costume. The officer stands with her hands at her sides, listening with a neutral expression."
S05,E20,236,turn all the screens in electronics to mtv.,Arrange,"A man in a light blue shirt and a cloud-patterned tie speaks animatedly, gesturing with his hands. He holds a clipboard and appears to be giving instructions or making a suggestion."
S05,E13,216,"okay, buddy, you're being weird.",Taunt,"A man in a wheelchair, wearing a blue vest, sits and speaks to a standing colleague. He holds a box and looks up with a questioning expression. The standing man, also in a vest, listens with his hands in his pockets, his posture suggesting mild confusion or concern."
S05,E07,556,"turt-turt, we're out of here.",Leave,"A young man in a blue vest gestures with his right hand towards a product display, speaking to an older man in a light blue shirt. The young man's expression is focused and explanatory. The older man listens attentively, turning his body slightly towards the display. A young woman stands beside the young man, observing the interaction."
S06,E06,26,"no, it's that we no longer have to sanitize",Inform,"A woman in a blue vest listens with a skeptical expression as a man in a white shirt and cloud-patterned tie speaks. He holds a clipboard and gestures with his free hand, appearing to explain something. The woman stands with her hands behind her back, her expression unchanging, suggesting she is unimpressed or unconvinced by his explanation."
S05,E09,440,"yeah, yeah, you're good. you got this.",Praise,"A woman in a maroon blazer smiles encouragingly at a man in a plaid shirt. She gestures with her right hand as she speaks, her expression shifting from a smile to a more serious, focused look. The man, seen from behind, holds a clipboard and pencil, listening intently."
S06,E03,372,we can't trust him about anything.,Complain,"The woman on the right, Cheyenne, speaks with a concerned expression, gesturing with a face mask in her hand. The woman on the left, Dina, listens with a skeptical, unimpressed look, her hands on her hips. Their body language suggests a disagreement or a serious discussion about someone's trustworthiness."
S05,E09,428,i'm just checking to see if he and mateo are hitting it off.,Care,"The woman in the maroon blazer speaks with a concerned expression, gesturing with her right hand. The woman in the blue shirt listens, holding a basket and looking slightly downcast. Their interaction suggests a serious conversation about someone named Mateo."
S04,E03,256,thank you for bringing that to my attention.,Thank,"A woman in a blue vest stands before a man, holding a notebook. She smiles warmly and speaks, her expression polite and appreciative. The man, seen from behind, listens attentively. Their interaction is professional and positive."
S06,E05,215,"cool, let's all give credit to jonah for janet's idea.",Praise,"The scene opens on Jonah, who is smiling and gesturing with his right arm, appearing to present an idea. The camera then cuts to Mateo, who looks up with a surprised and slightly open-mouthed expression, reacting to Jonah's statement."
S05,E14,493,i'm sorry.,Apologise,"A woman in a floral dress holds a bowl and spoon, looking down with a somber expression as she speaks. A man in a purple suit sits beside her, listening intently. Her body language is subdued, suggesting she is apologizing or explaining something serious."
S05,E18,27,"oh, my god, he's so cute. my ovaries are exploding.",Praise,"A woman in a blue vest exclaims, ""My ovaries are exploding,"" with wide eyes and an open mouth, expressing extreme excitement. A man in a dark jacket stands beside her, smiling and giving a thumbs-up, sharing in her enthusiastic reaction."
S04,E08,91,"the point is, sayid, you're home now.",Inform,"A man in a light blue shirt and patterned tie stands, holding a clipboard. He speaks and gestures with his free hand, looking at seated employees. His expression is serious and instructive as he addresses them."
S04,E12,459,"'cause he eats a lot of sugar, so he'd be the sweetest.",Joke,"A young woman in a light pink sweater and jeans stands beside a man in a dark sweater. She holds a blue cup and gestures with her other hand as she speaks, her expression animated. The man, holding a coffee cup, leans forward with a wide, excited smile, gesturing enthusiastically in response."
S04,E17,151,"we can see that, big guy. just get out of the way.",Prevent,"A man in a black jacket speaks into a microphone, gesturing with his right hand. He appears to be addressing someone off-screen. A woman in a blue dress stands beside him, looking on with a concerned expression."
S06,E01,210,"so, employees must wipe down the register and credit card machine after each customer",Inform,"A woman in a blue blazer, Annalise, reads from a paper with a serious expression. She gestures with her left hand as she speaks. To her right, a woman in a blue polo shirt listens attentively, holding a clipboard."
S05,E19,341,"hey, tommy, some guy with no pants just joined the protest.",Inform,"A man in a camouflage jacket stands with a protest sign, looking serious and slightly annoyed. He is approached by a woman in a denim jacket who holds a sign and speaks to him. The man's expression remains stern and unimpressed as she talks."
S05,E07,291,"why, so you can steal a quart of our pink soap?",Criticize,"The woman in the blue vest is the main speaker, looking up and to her right with a questioning expression as she speaks. The man beside her, wearing a flat cap, listens attentively while holding a clipboard."
S05,E11,449,"yeah, it feels kinda good.",Praise,"The man in the light blue lab coat stands with arms crossed, looking slightly upward and to his right with a thoughtful expression. He appears to be listening or contemplating. The man in the dark blue shirt stands beside him, looking in the same direction with a neutral expression."
S06,E10,420,because the ducklings were having a tea party,Introduce,"A man in a light blue shirt and cloud-patterned tie sits at a desk, holding up a calendar. He smiles and points at it with his right index finger, appearing to explain something to a woman with red hair sitting across from him."
S06,E01,260,"oh, great, more reasons for the wet-lips to yell at me.",Taunt,"A bald man in a blue vest sits behind a store counter, looking up with a neutral expression as a woman in a blue blazer stands before him. He holds a tablet, and they appear to be in a professional conversation."
S05,E20,274,"go ahead. don't worry, i've--i've--",Comfort,"A man in a light blue shirt and cloud-patterned tie holds a clipboard and speaks to a woman in a blue polo shirt. He gestures with his free hand while she listens with her hands on her hips, her expression shifting from attentive to slightly skeptical."
S05,E06,16,"uh, actually, i got tired of explaining",Complain,"The man in the brown fedora and leather jacket sits in a wheelchair, speaking. He holds a coiled red whip in his lap. His expression is neutral as he addresses someone off-camera. The group behind him, in various costumes, stands attentively, listening to him."
S04,E11,508,"what, so they can slap the other cheek?",Taunt,"The man in the light blue shirt holds a damaged pillow, looking slightly exasperated as he speaks. The others, including a seated man in a blue vest, listen with expressions of concern and confusion. The dynamic suggests a tense discussion about the pillow's condition."
S06,E07,328,kelly came over from fenton to cover a shift.,Inform,"A man in a blue vest gestures with his right hand as he speaks to a taller man in a light blue shirt and a woman in a matching vest. The taller man listens with a neutral expression, while the woman looks at him with a concerned or questioning look."
S04,E12,380,because he thinks he's better than everyone else here.,Taunt,"A man in a dark sweater sits on a rolling chair, leaning forward with his left arm resting on the counter. He speaks animatedly, gesturing with his right hand towards a woman. The woman, wearing a light-colored sweater, sits across from him, listening intently with a focused expression."
S05,E07,264,i have zero control over my employees.,Complain,"A woman in a pink blazer stands behind a counter, speaking to a man in a blue vest. Her expression is serious and slightly exasperated as she gestures with her right hand. The man, facing her, listens with his back to the camera."
S04,E07,112,why would we even do it? what're we doing it for?,Complain,"A bald man with a beard, wearing a blue vest over a black t-shirt, sits and speaks. He has a name tag that reads ""Garrett."" He gestures with his right hand while talking to another person in a blue shirt who is standing with their back to the camera."
S04,E01,211,"and for women, it's that i got taken advantage of?",Complain,"A woman in a blue vest, identified as Emily, speaks with a concerned and slightly exasperated expression. She gestures with her hands, first outwards and then bringing them to her chest, as she talks to a man in a plaid shirt."
S06,E05,536,our corona tests came back negative.,Introduce,"A young woman and a man stand together, both holding papers. The woman, with a bright smile, gestures with her papers as she speaks. The man, wearing glasses, looks at her with a neutral expression, listening to her."
S05,E10,406,"and after all of that, we still can't afford rent",Complain,"A man in a grey suit sits at a desk, speaking with a look of exasperation. He gestures with his right hand, palm up, as he talks to another man whose back is to the camera. His expression shifts from open-mouthed disbelief to a more pleading, resigned look as he continues his explanation."
S04,E06,75,my name's kimmer with a k.,Introduce,"A woman with long dark hair, wearing a cream-colored blouse, stands at a store counter. She holds a paper and smiles while speaking to a male employee in a blue vest. Her expression is friendly and engaged as she interacts with him."
S05,E08,217,you could tell 'em your story.,Advise,"A man in a blue vest, identified as 'Jonah,' speaks animatedly to a woman in a blue blazer. He gestures with both hands, palms open, as he explains something. The woman listens intently, her body angled towards him. A man in a striped sweater stands beside Jonah, observing the interaction with a neutral expression."
S05,E08,502,"sorry, i should really get going.",Leave,"A man in a green sweater stands with a strained, pained expression, his eyes squeezed shut and mouth contorted. He appears to be in discomfort or distress. He is facing another person, whose back is to the camera, creating a tense and uncomfortable dynamic between them."
S05,E06,12,you two are gonna be managing,Arrange,"A woman in a judge's robe holds a gavel and speaks authoritatively. She stands next to a woman in a revealing police uniform, who listens with a neutral, slightly unimpressed expression."
S05,E14,207,"there is still a lot that needs to get done, and it is crunch time.",Inform,"A woman in a colorful dress speaks animatedly to a man in a suit, gesturing with her hands. Her expression is earnest and slightly stressed. The man listens with his hands in his pockets, his expression neutral. Other people stand in the background, observing the interaction."
S06,E02,252,it wasn't- it wasn't that.,Oppose,"A woman in a blue blazer stands behind a desk, smiling and gesturing with her hands as she speaks to a man in a blue vest. Her expression is friendly and engaging, suggesting a positive and collaborative conversation."
S06,E07,455,and it's the best thing that's ever happened to me.,Flaunt,"The man in the dark uniform is the main speaker, gesturing expansively with open palms and a wide, enthusiastic expression. He appears to be passionately explaining something to his colleagues."
S04,E06,365,that's an interesting choice.,Praise,"A man in a light blue shirt and patterned tie stands behind two seated colleagues. He looks from one to the other with a slightly quizzical expression, his mouth slightly open as if making a comment. His body language is relaxed but engaged in the conversation."
S04,E14,273,"excuse me, folks, can everyone gather up?",Inform,"A woman in a blue blazer stands in the aisle, holding a clipboard. She calls out, ""Excuse me, folks. Could everyone gather up?"" Her expression is professional and commanding as she addresses the other employees."
S05,E20,265,"glenn, you smell scared. what's up?",Care,"A man in a light blue shirt and patterned tie holds a clipboard and speaks to a woman in a blue polo shirt. He looks concerned and is questioning her. The woman, with her back mostly to the camera, turns to face him, her expression showing surprise or confusion as she listens to his inquiry."
S05,E16,477,"dina, i am sorry that i said nobody likes you.",Apologise,"The woman in the blue blazer, identified by her name tag as ""BETH,"" is speaking. Her expression is serious and apologetic as she looks towards the woman in the blue polo shirt. The woman in the polo shirt listens with a somber, downcast expression, holding a blanket in her lap."
S06,E01,87,"but for now, they want everybody to know that,  we value our employees' dedication.",Inform,"A woman in a black blazer stands at a podium, reading from a paper with a serious expression. She is flanked by employees in blue vests. The group listens attentively, their expressions ranging from neutral to concerned, indicating a formal and possibly tense announcement."
S04,E13,406,thank you.,Thank,"A woman in a green jacket stands, looking down and to her right with a serious, slightly concerned expression. She is speaking to a seated man, whose back is mostly to the camera. Their interaction appears to be a focused, possibly tense, conversation."
S05,E09,522,"test the shelves, make sure they, um",Arrange,"A woman in a maroon blazer speaks animatedly to a young man in a plaid shirt. She gestures with her hands, her expression shifting from questioning to emphatic as she explains something. The man listens attentively, his expression neutral."
S05,E08,525,"jonah, why are you filming this?",Criticize,"A woman in a blue jacket stands with a shocked expression, her mouth open and hands slightly raised. She is flanked by two men near a pickup truck. One man, in a vest, is bent over, while the other stands behind him. Their interaction appears to be a chaotic, comedic struggle."
S05,E14,161,"hey, dina. everything okay?",Care,"A woman in a blue floral dress holds a clipboard, her expression concerned as she speaks to a woman in a dark floral dress. The woman in dark floral looks back with a serious, slightly worried expression. A man in a suit stands beside her, observing the interaction with a neutral, attentive look."
S05,E07,297,yep.,Agree,"A man in a flat cap gestures with his right hand while speaking to a woman in a blue vest. The woman listens attentively, holding a clipboard. Their interaction appears to be a formal discussion or training session, with the man explaining a point and the woman observing."
S05,E06,94,you could eat yourself to death and no one would care.,Joke,"The chef, standing, speaks with a slightly condescending tone, gesturing with his right hand. The man in the wheelchair listens, holding a jack-o'-lantern cup. His expression is neutral, showing no strong reaction to the chef's comment."
S05,E14,261,"here, take my card. there's a link to the web--",Introduce,"A man in a dark suit sits, looking up at a standing man in a white shirt. He holds a small card, gesturing with his other hand as he speaks. His expression is earnest and engaged, suggesting he is explaining something important to the other man."
S05,E16,212,maybe you should just mute her.,Advise,"A man in a blue vest looks down with a concerned expression as a woman in a blue blazer holds a clipboard and speaks to him. His body is slightly turned towards her, indicating he is listening intently to her instructions."
S05,E02,65,"look, i know you like to be everyone's but that's not how i live my life.",Oppose,"A woman in a blue polo shirt, holding a clipboard, speaks to a male coworker. She gestures with her free hand, her expression serious and slightly exasperated. The man, wearing a vest with a name tag, listens with a neutral expression, his body angled towards her."
S04,E17,350,it's a traditional honduran food.,Introduce,"A man in a light-colored suit stands at a buffet, holding a plate. He gestures with his right hand while speaking, his mouth open mid-sentence. His expression is animated and engaged as he interacts with people nearby."
S06,E01,21,so i'm still gonna be working with you guys.,Inform,"A woman in a floral blouse stands, holding a blue folder. She gestures with her left hand while speaking, her expression serious and focused. She looks towards a bald man in a blue vest, who is seated and listening. The interaction appears to be a formal discussion or presentation."
S04,E06,441,i am dealing with a lot today.,Complain,"A young woman in a Walmart vest stands with a worried expression, her brow furrowed and mouth slightly open as she speaks. She holds a phone in her left hand. An older man in khakis stands with his back to the camera, listening."
S04,E13,300,can't you just cover it up?,Advise,"A man in a blue vest, identified as 'MATEO', speaks with a concerned expression. He gestures with his right hand towards a woman in a matching vest. The woman listens, her back mostly to the camera, while a shirtless man rests his head on the counter in the foreground."
S05,E11,505,"oh, that's so sweet.",Praise,"The woman in the blue apron, Carol, speaks with a warm, smiling expression, her head tilted slightly. Sandra, in the blue polo shirt, listens with a neutral, attentive look. The man, Garrett, is partially visible, listening to the conversation."
S04,E05,491,yeah. thank you.,Thank,"A woman in a hospital gown sits in bed, holding a newborn baby wrapped in a blue blanket. She smiles gently at someone off-screen, her expression one of serene happiness. A man stands beside her, partially visible, sharing in the quiet, tender moment."
S05,E10,327,she's out of commission for the rest of the day,Inform,"A man in a grey suit stands in a doorway, leaning against the frame while talking on his phone. He appears serious and focused. In the background, a woman sits in a chair, looking down at her own phone, seemingly disengaged from the man's conversation."
S05,E12,327,thanks.,Thank,"A woman in a blue blazer stands with her back to the camera, listening. A store employee in a blue polo shirt gestures with her right hand while speaking. A man in a brown vest holds a blue card and gestures with his left hand as he talks, appearing to explain something."
S05,E21,89,you have to have a party.,Advise,"A male employee, Mateo, wearing a blue vest, speaks to a female coworker. He gestures with his right hand towards her back, his expression earnest as he makes his point. The coworker, with her back to the camera, listens."
S05,E15,94,"classy move, zephra.",Praise,"The main speaker, a man with a grey beard, holds a small bowl and spoon. He looks directly at the camera with a neutral expression, his mouth slightly open as if speaking. His body is angled slightly, suggesting he is addressing someone off-camera."
S06,E01,438,this man is harassing me,Criticize,"A woman in a purple shirt stands with her back mostly to the camera, facing a man and a woman. The man, in a white shirt and tie, gestures with his hands open, palms up, as if explaining something. The woman in the blue shirt stands beside him, also gesturing with open hands. Their body language suggests a conversation or presentation."
S06,E03,498,"for instance, i think we should stagger our shift start times",Advise,"The woman in the blue vest, Cheyenne, is the main speaker. She stands with her hands open and palms up, gesturing as she speaks to her colleagues. Her facial expression is earnest and engaged, suggesting she is passionately explaining her idea."
S06,E03,67,"i mean, dusty mint stinks.",Complain,"The man in the white shirt, identified as Glenn, speaks with a disgusted expression. He looks down and shakes his head slightly, conveying his displeasure. His body language is closed off, and he appears to be complaining to the person in the red shirt, who is mostly out of frame."
S05,E16,538,"sorry, that sounded really callous.",Apologise,"A man in blue scrubs stands at a counter, looking down with a focused expression. He is writing on a clipboard, his posture suggesting concentration. His facial expression is serious and attentive, indicating he is deeply engaged in his task."
