id	text	label	dimension
6_6	I love the specifics, the specifics were the best part!	 statement-opinion	dialogue act
6_8	I was surprised to see a kangaroo in a World War I epic.	 answer	dialogue act
6_9	You fell asleep!!	 statement-non-opinion	dialogue act
6_10	There was no kangaroo!	 statement-non-opinion	dialogue act
6_11	They didn't take any of my suggestions!	 statement-non-opinion	dialogue act
6_12	That's for coming buddy.	 statement-opinion	dialogue act
6_14	Don't go!	 command	dialogue act
6_15	I'm sorry.	 apology	dialogue act
6_18	This guy fell asleep!	 statement-non-opinion	dialogue act
6_19	He fell asleep too!	 statement-non-opinion	dialogue act
6_20	Be mad at him!	 statement-opinion	dialogue act
7_0	Okay, look, I think we have to tell Rachel she messed up her dessert.	 statement-opinion	dialogue act
7_1	What?! What is with everybody? It's Thanksgiving, not...Truth-Day!	 question	dialogue act
8_0	Yes, and it is my dying wish to have that ring.	 statement-opinion	dialogue act
8_1	See, if I'm not buried with that ring then my spirit is going to wander the nether world for all eternity	 statement-opinion	dialogue act
8_2	Okay, that's enough honey!	 statement-non-opinion	dialogue act
8_4	Great! Okay, here.	 agreement	dialogue act
8_5	All right.	 others	dialogue act
8_6	Thank you. Thank you. Thank you!  And	 acknowledge	dialogue act
9_0	What've you been up to?	 question	dialogue act
9_1	Oh, you know, the usual, teaching aerobics, partying way too much.	 answer	dialogue act
9_2	Oh, and in case you were wondering, those are my legs on the new James Bond poster.	 statement-non-opinion	dialogue act
9_3	Can you hold on a moment? I have another call.  I love her.	 statement-non-opinion	dialogue act
9_4	I know.	 agreement	dialogue act
9_5	I'm back.	 statement-non-opinion	dialogue act
9_6	So, are we gonna get together or what?	 question	dialogue act
9_8	Great, I'll see you then.	 agreement	dialogue act
9_12	Oh my god. You are pure evil.	 statement-opinion	dialogue act
9_13	Ok, pure evil , horny and alone . I've done this	 statement-non-opinion	dialogue act
10_1	Nobody respects the bucket!	 statement-opinion	dialogue act
10_2	You wouldn't believe what people put in here!	 statement-non-opinion	dialogue act
10_3	Look!	 command	dialogue act
10_5	No.	 answer	dialogue act
11_3	Here you go Phoebe! Here you go Phobo! Phewbedo! Phaybobo.	 statement-non-opinion	dialogue act
11_4	Thank you.	 greeting	dialogue act
11_6	All right, let's go! Bye, Pheebs!	 greeting	dialogue act
11_7	Bye, Pheebs!	 greeting	dialogue act
11_8	London baby!!	 others	dialogue act
11_9	Oh, do you need a hug? You don't have to bring me anything!	 statement-opinion	dialogue act
12_2	That's great, but shouldn't you be on the toilet right now?	 question	dialogue act
12_4	What's wrong with you?	 question	dialogue act
12_5	Nothing!	 answer	dialogue act
12_6	Well, I-I got this blinding pain in my stomach when I was lifting weights before, then I uh passed out and uh, haven't been able to stand up since.	 statement-non-opinion	dialogue act
12_7	But um, I don't think it's anything serious.	 statement-opinion	dialogue act
12_8	This sounds like a hernia. You have to-you-you go to the doctor!	 statement-opinion	dialogue act
12_9	No way! 'Kay look, if I have to go to the doctor for anything it's gonna be for this thing sticking out of my stomach!	 disagreement	dialogue act
12_10	That's a hernia.	 statement-non-opinion	dialogue act
12_11	Why did I have to start working out again?  Damn you 15s!	 question	dialogue act
13_0	I love your place! Where is this guy from?	 question	dialogue act
13_1	Uh that's an eighteenth century Indian artifact from Calcutta.	 answer	dialogue act
13_2	Oh wow! So, you're more than just dinosaurs.	 statement-opinion	dialogue act
13_3	So much more.	 agreement	dialogue act
14_0	Well, well to sum up, we're having fun, you look young.	 statement-non-opinion	dialogue act
14_2	But that's not enough. So... So...here's a key to my apartment.	 statement-non-opinion	dialogue act
14_3	Really?!	 question	dialogue act
14_4	Really.	 answer	dialogue act
14_5	You don't think this is too fast.	 statement-opinion	dialogue act
15_3	Uh, well... Joey and I broke up.	 statement-non-opinion	dialogue act
15_4	Oh my God, wh-what happened?	 question	dialogue act
15_5	Joey is a great guy, but we're just... so different! I mean, during your speech he kept laughing at homo erectus!	 answer	dialogue act
15_6	I knew that was him!	 statement-opinion	dialogue act
15_7	Anyway I just, uh, I think it's for the best.	 statement-opinion	dialogue act
15_10	There was hum...  there was another reason that I thought it was time to end it with Joey.	 statement-non-opinion	dialogue act
15_11	I started to realize that I was having feelings for someone  else.	 statement-opinion	dialogue act
15_12	Ok Geller. Last day of the conference, you know what happens to the keynote speaker.	 statement-non-opinion	dialogue act
15_13	Oh, professor Clerk we're kind of in the middle of a conversation, here.	 statement-non-opinion	dialogue act
15_14	Yeah, can you guys just throw him in the pool later?	 question	dialogue act
15_15	Or we could throw you both in	 statement-opinion	dialogue act
15_17	Please!	 others	dialogue act
15_18	Aren't we a little old for this?	 statement-opinion	dialogue act
15_20	We're academics.	 statement-non-opinion	dialogue act
15_21	And most importantly I... you-you will have to catch us first.	 statement-non-opinion	dialogue act
15_22	GO, GO, GO!	 command	dialogue act
16_1	Oh yeah, now everybody wants to be under this hat!	 statement-opinion	dialogue act
16_2	Oy!!	 others	dialogue act
16_3	What's with all this sand?	 question	dialogue act
16_5	Yeah, either that, or he has a really big cat.	 statement-opinion	dialogue act
17_0	Okay, see that blind guy right there? I'm gonna bash his head in later.	 statement-non-opinion	dialogue act
17_1	Oh umm, my big scene is coming up. Big scene coming up.	 statement-non-opinion	dialogue act
17_2	"If you said, ""Big lima bean, bubbling up."" Would she understand the difference?"	 question	dialogue act
17_4	Oh boy, I just can't watch. It's too scary!	 statement-opinion	dialogue act
17_5	It's a diaper commercial.	 statement-non-opinion	dialogue act
17_6	Oh yeah well, you know me, babies, responsibilities, ahhh!!!	 statement-non-opinion	dialogue act
17_7	Pizza delivery!	 others	dialogue act
17_8	I'll get it! I will get that!	 statement-non-opinion	dialogue act
17_9	Hi!	 greeting	dialogue act
17_10	Hi!	 greeting	dialogue act
18_1	Uhh, the ball thing.	 answer	dialogue act
18_2	Yeah?	 backchannel	dialogue act
18_3	Hey Ross, wouldn't it be great if we could go two straight hours without dropping it?!	 question	dialogue act
18_4	Uhh,	 answer	dialogue act
18_6	Uh-oh.	 backchannel	dialogue act
18_7	What?	 question	dialogue act
18_8	I have to pee. And Rachel's in the bathroom!	 answer	dialogue act
18_9	Man, I didn't think we were gonna make it!	 statement-opinion	dialogue act
18_10	I know!  Don't switch hands, okay?	 statement-opinion	dialogue act
19_0	Hey.	 greeting	dialogue act
19_1	Hey!	 greeting	dialogue act
20_0	How did it go with Erin?	 question	dialogue act
20_1	Oh, unbelievable! We had the best time!	 statement-non-opinion	dialogue act
20_3	No!	 answer	dialogue act
20_4	No!	 answer	dialogue act
20_6	You guys were totally right!	 statement-opinion	dialogue act
20_9	That was so awkward, we were really nervous.	 statement-opinion	dialogue act
20_10	Didn't you sleep together?	 question	dialogue act
20_13	We have so much in common!	 statement-non-opinion	dialogue act
20_14	She loves sandwiches, sports, although she is a Met fan, not much of an issue now but if we were ever to have kids, well that's a	 statement-non-opinion	dialogue act
20_15	Oh my God! Listen to you talkin' about having kids. Oh my Joey.  Oh, please don't get married before I do.	 statement-opinion	dialogue act
20_16	Okay.	 agreement	dialogue act
21_0	How does she do that?	 question	dialogue act
21_1	I cannot sleep in a public place.	 statement-opinion	dialogue act
21_2	Would you look at her? She is so peaceful.	 question	dialogue act
21_3	Oh! What what what! ...Hi.	 greeting	dialogue act
21_5	What's going on with you?	 question	dialogue act
21_8	My grandmother has this new boyfriend, and they're both kind of insecure in bed.	 answer	dialogue act
21_9	Oh, and deaf.	 others	dialogue act
21_10	So they're constantly, like, having to reassure each other that they're having a good time.	 statement-non-opinion	dialogue act
21_12	Well, if you want, you can stay with Rachel and me tonight.	 statement-opinion	dialogue act
21_13	Thanks.	 greeting	dialogue act
22_1	It's just her water breaking. Calm down, will you?	 answer	dialogue act
23_0	Are you insane? I mean Joey, is going to kill you, he's actually going to kill you dead.	 statement-opinion	dialogue act
23_2	How can you not know which one?	 question	dialogue act
23_3	I mean that's unbelievable.	 statement-opinion	dialogue act
23_4	I mean, was it Gina?	 question	dialogue act
23_6	Dark, big hair, with the airplane earrings.	 answer	dialogue act
24_1	Look honey, Mark is in fashion okay, I like having a friend that I can share this stuff with.	 statement-opinion	dialogue act
24_2	You guys would never want to go to a lecture with me.	 statement-non-opinion	dialogue act
24_3	Pa-haa!! I would love to go with you.	 statement-opinion	dialogue act
24_4	Really!?	 question	dialogue act
24_5	Yeah, hey I-I have clothes, I even pick them out.	 answer	dialogue act
24_6	I mean for, for all you know I could be a fashion..... monger.	 statement-non-opinion	dialogue act
24_7	Okay. Honey, I would love for you to go with me.  What?	 statement-opinion	dialogue act
24_8	What should I wear, now I'm all nervous.	 question	dialogue act
25_1	I know, it was amazing! I mean, we totally nailed it, it was beautiful.	 agreement	dialogue act
25_2	: Thank you, listen, thanks a lot Tribbiani, . Oh my God, look at the time, I gotta catch the bus to the ball.	 statement-non-opinion	dialogue act
25_4	: Yeah.	 others	dialogue act
25_7	Okay.	 agreement	dialogue act
25_8	: Yeah.	 backchannel	dialogue act
25_9	Go get 'em Treeger.	 command	dialogue act
25_10	: Right.  Hey, ahh, you wanna come? Marge has a girlfriend.	 question	dialogue act
25_11	Really?	 backchannel	dialogue act
25_12	: Yeah, you could dance real good with her, she's the same size as me.	 answer	dialogue act
25_13	No, I'm good.	 disagreement	dialogue act
26_0	Oh God, this is so nerve wracking! How-how do you do this?	 question	dialogue act
26_4	Okay uh, we have narrowed it down to Raymond, Ben, Kyle, and Joey. The rest of you, thank you very much.	 statement-non-opinion	dialogue act
26_5	Yes!! I knew it!!  Bye-bye! So long! Later!	 greeting	dialogue act
26_6	Oh this is great! I might actually get to play Ben's dad!	 statement-non-opinion	dialogue act
26_7	Yeah!	 backchannel	dialogue act
26_9	Yeah because you all have such different looks, we're putting you with Raymond and Kyle with Ben.	 statement-opinion	dialogue act
26_11	Man, this is gonna be kinda weird.	 disagreement	dialogue act
26_13	No, we-we're gonna be like best friends, that's why it's gonna be weird.	 statement-opinion	dialogue act
27_0	Okay, come on, I can't get married until I get something old, something new, something borrowed, and something blue.	 statement-opinion	dialogue act
27_1	Okay, all right, all right, all right! Okay!  Okay, here's something, here's something blue and new.	 agreement	dialogue act
28_0	Please!	 others	dialogue act
28_2	I-I hurt three huge men, I gave a guy a bloody nose-I mean I-I'm not proud of it but, I really am.	 statement-non-opinion	dialogue act
28_4	I think you've got concussion.	 statement-opinion	dialogue act
28_5	No, no, I'm serious. Thank you.	 disagreement	dialogue act
28_6	You're welcome.  I'm sorry. Did I hurt you?	 question	dialogue act
28_7	It's worth the pain.  Y'know what, you know what? It's not.	 answer	dialogue act
29_2	Ok, I'm sensing that this is some kind of word play, because you are pink with barely controlled glee.	 statement-opinion	dialogue act
29_6	Chandler, we have talked about this.	 statement-non-opinion	dialogue act
29_9	I	 others	dialogue act
29_11	"She'll say ""No"", David's heart will be broken, it will be too hard for them to recover from and then Phoebe will end up alone"	 statement-opinion	dialogue act
29_12	Man, that's some	 others	dialogue act
30_1	It-it's great to meet you Paul.	 greeting	dialogue act
30_3	Of course, of course, Mr. Stevens.	 agreement	dialogue act
30_4	So Ross, what your problem?	 question	dialogue act
30_5	Eh-wh-Excuse me?	 answer	dialogue act
30_6	Why can't you get a girlfriend your own age?	 question	dialogue act
30_7	That's funny. Umm....  It's not funny.	 answer	dialogue act
30_8	I	 others	dialogue act
30_11	Umm, but I think if you give me umm, one chance I can, I can change your mind.	 statement-opinion	dialogue act
30_13	What?	 question	dialogue act
31_0	Oh well, it's not on TV yet.	 statement-non-opinion	dialogue act
31_1	Well, then it's not on the wall yet.	 statement-non-opinion	dialogue act
31_3	So umm, now do you have any of Matt Lauer's clothes here? Maybe? Just ones that haven't been cleaned yet?	 question	dialogue act
32_0	Ooooohh!	 others	dialogue act
32_3	Oh, boy scouts could have camped under there.	 answer	dialogue act
32_4	"""Ooo,"" what?"	 question	dialogue act
32_5	Uma Thurman.	 answer	dialogue act
32_6	Oh!	 others	dialogue act
32_7	The actress!	 statement-non-opinion	dialogue act
32_8	Thanks Rach.	 greeting	dialogue act
32_9	So what are you gonna do?	 question	dialogue act
32_11	You have to tell her!	 statement-opinion	dialogue act
32_13	Guys?	 others	dialogue act
32_14	Guys?	 others	dialogue act
32_16	Feminist issue. That's where I went!	 statement-non-opinion	dialogue act
32_17	She is gonna hate me.	 statement-opinion	dialogue act
32_18	Yeah, well...	 others	dialogue act
33_2	Yeah, yeah you have the ring?	 question	dialogue act
33_3	Yeah, right here in my pocket.  Pheebs?	 answer	dialogue act
33_4	Oh! Oop!	 others	dialogue act
33_6	Yeah-yeah you guys. Get out of here!	 agreement	dialogue act
33_7	Hi guys.	 greeting	dialogue act
33_10	We're just really...very excited about this charity event that we have to go to.	 answer	dialogue act
34_0	Okay umm, Ross?	 others	dialogue act
34_1	I'm-I'm really warm, so I'm going to be taking off my sweater.	 statement-non-opinion	dialogue act
34_2	Now, I'm just letting you know that this is	 statement-non-opinion	dialogue act
34_3	Yep! That's hilarious!	 statement-opinion	dialogue act
34_4	I'm sorry. I'm done. I'm done.	 apology	dialogue act
34_6	No, not really. I mean you've seen me naked hundreds of times.	 disagreement	dialogue act
34_8	Okay. All right, that's true! But y'know I just don't embarrass that easily.	 statement-opinion	dialogue act
34_9	What?! You totally get embarrassed!	 question	dialogue act
34_10	No, I don't! Ross, I think I'm just a more secure person than you are.	 answer	dialogue act
34_11	Is that so?	 question	dialogue act
34_13	Hey lady! I don't care how much you want it! Okay?! I am	 statement-non-opinion	dialogue act
35_0	I can't believe it!	 statement-non-opinion	dialogue act
35_3	I never thought I'd be able to do that!	 statement-opinion	dialogue act
35_4	Thank you Ross.	 greeting	dialogue act
36_0	Hey, both you guys should be up there with me.	 statement-opinion	dialogue act
36_2	Thanks man.	 acknowledge	dialogue act
36_3	I gotta go check something over here.	 statement-non-opinion	dialogue act
36_4	What a baby.	 statement-non-opinion	dialogue act
36_5	Total wuss!	 others	dialogue act
37_1	Wow! This looks great!	 acknowledge	dialogue act
37_3	And-and-and-and-and the toothpicks?	 statement-non-opinion	dialogue act
38_0	You kissed another woman!	 statement-non-opinion	dialogue act
38_5	No-no, I took them from the hotel lobby.	 answer	dialogue act
38_6	Yeah, they think they can charge me for some dirty movie and a bag of Mashuga nuts, they got another think coming.	 statement-non-opinion	dialogue act
38_7	Hey!	 greeting	dialogue act
38_10	Oh my God!!	 others	dialogue act
39_0	Happy?! Is that what I'm supposed to be Vic? Happy?	 question	dialogue act
39_3	Because I sure as hell can't figure it out!	 statement-non-opinion	dialogue act
39_4	I talk to you and nothin'.	 statement-non-opinion	dialogue act
39_5	You look at me, and it's nothin'.	 statement-non-opinion	dialogue act
39_7	Tasty! I'm really starting to feel like you guys have a history, it's-it's nice.	 statement-opinion	dialogue act
39_9	Yes?	 agreement	dialogue act
39_10	Well, I don't understand why Adrienne's attracted to Victor.	 question	dialogue act
39_13	I think my character's gonna need a little bit more of reason than that.	 statement-opinion	dialogue act
39_14	Oh, hey, how about this one.	 statement-non-opinion	dialogue act
39_15	Ah, it's says so in the script!	 statement-non-opinion	dialogue act
39_16	Y'know ah, I-I don't know why my character likes you either, I mean it says in the script here that you're a bitch.	 statement-non-opinion	dialogue act
39_17	It doesn't say that in the script.	 statement-non-opinion	dialogue act
39_18	It does in mine!	 statement-non-opinion	dialogue act
40_0	I can't	 disagreement	dialogue act
40_2	Y'know who has a great video camera?	 question	dialogue act
40_3	Greg and Jenny?	 answer	dialogue act
40_4	Do you still wanna call 'em? I wanna call 'em.	 question	dialogue act
40_6	Yeah! Ask them if they brought their friends any souvenirs!	 statement-non-opinion	dialogue act
40_7	Hello?  Eighth street deli?	 greeting	dialogue act
40_9	Uh sorry, wrong number.	 apology	dialogue act
40_11	Hello?   It's the deli again!	 statement-non-opinion	dialogue act
40_13	I don't think this number's right!	 statement-opinion	dialogue act
41_0	Gotta go. I miss you too, I love you, but it's getting real late now	 statement-non-opinion	dialogue act
41_1	Hey Ma. Listen, I made the appointment with Dr. Bazida, and... Excuse me?  Did you know this isn't Ma?	 question	dialogue act
41_2	Her name's Ronni. She's a pet mortician.	 answer	dialogue act
41_3	Sure. So how long you been...	 question	dialogue act
41_4	Remember when you were a little kid, I used to take you to the navy yard and show you the big ships?	 statement-non-opinion	dialogue act
41_5	Since then?!	 question	dialogue act
41_6	No, it's only been six years.	 answer	dialogue act
41_8	...Joe.	 others	dialogue act
41_9	Y'ever been in love?	 question	dialogue act
41_10	...I d'know.	 answer	dialogue act
41_12	You're one to talk.	 statement-non-opinion	dialogue act
41_13	Joe, your dad's in love big time. And the worst part of it is, it's with two different women.	 statement-non-opinion	dialogue act
41_14	Oh man. Please tell me one of 'em is Ma.	 statement-opinion	dialogue act
41_15	Of course, course one of 'em's Ma. What's the matter with you.	 statement-non-opinion	dialogue act
42_0	Everything's gonna be all right. Okay, Dick?	 statement-opinion	dialogue act
42_1	Hello, I am Guru Saj--Whoa!!  That's supposed to be a duck right? 'Cause otherwise, this is waaay out of my league.	 statement-non-opinion	dialogue act
43_3	Oh, well, I guess I had that one coming.	 statement-non-opinion	dialogue act
43_6	No. Nothing.	 answer	dialogue act
44_0	And then, and then you said that thing about, about bringing the Mesozoic era in the 21st century.	 statement-non-opinion	dialogue act
44_1	Yeah, that's it?	 backchannel	dialogue act
45_0	Dude, I am sorry about what I said!	 apology	dialogue act
45_1	No, no, you're right, it is a ridiculous name!	 agreement	dialogue act
45_2	It's not that bad.	 statement-non-opinion	dialogue act
45_3	Yes it is! From now on, I have no first name.	 disagreement	dialogue act
46_0	Because we won our apartment back!	 answer	dialogue act
46_1	What? Ace is high! Jack, queen, king, ace!	 statement-non-opinion	dialogue act
46_2	No! Ace is low! Ace, two, three, four!	 statement-non-opinion	dialogue act
46_3	I don't know. Ooh! Ooh! Look it!  Ah-ha!	 statement-non-opinion	dialogue act
46_4	All right, cut, let's pick again, pick again.	 statement-opinion	dialogue act
46_6	Come on apartment! Come on apartment!  Oh! I know queen is high!	 statement-non-opinion	dialogue act
46_7	Uh-huh, not as high as... It worked! King!	 disagreement	dialogue act
46_8	Yeah baby!	 backchannel	dialogue act
46_9	But, we pick again! We pick again!	 statement-opinion	dialogue act
46_10	Why?!	 question	dialogue act
46_11	I don't know!	 answer	dialogue act
46_12	Tickets please!  That's courtside baby!	 statement-non-opinion	dialogue act
47_0	You know, I don't think we brought enough stuff. Did you forget to pack the baby's anvil?	 question	dialogue act
47_1	It's gonna be worth it.	 statement-opinion	dialogue act
47_2	It's a known fact that women love babies, all right?	 statement-non-opinion	dialogue act
47_3	Women love guys who love babies.	 statement-opinion	dialogue act
47_4	It's that whole sensitive thing.	 statement-non-opinion	dialogue act
47_5	Quick, aim him at that pack o' babes over there.	 others	dialogue act
47_6	Maybe one of them will break away.	 statement-opinion	dialogue act
47_7	No, no wait, for get them, we got one, hard left.	 statement-non-opinion	dialogue act
47_8	All right, gimme the baby.	 statement-non-opinion	dialogue act
47_11	Oh, seriously you want him?	 question	dialogue act
47_15	Oh, yeah. He's got that great baby smell. Get a whiff of his head.	 statement-opinion	dialogue act
47_17	Well, we are great guys.	 statement-opinion	dialogue act
49_0	Well, not really.	 others	dialogue act
49_1	I mean technically it's-it's not against the rules or anything, but it is frowned upon.	 statement-non-opinion	dialogue act
49_2	Especially by that professor we ran into last night, Judgey von Holierthanthou.	 statement-non-opinion	dialogue act
49_3	Well Ross, you be careful now. You don't want to get a reputation as y'know Professor McNailshisstudents.	 statement-opinion	dialogue act
49_5	Well Ross, it seems pretty clear.	 answer	dialogue act
49_7	What people think or how you feel, huh?	 question	dialogue act
49_9	Joey that is so sweet.	 apology	dialogue act
49_10	Hey.	 greeting	dialogue act
49_11	Hey-hey-hey! So, how did it go with Dana? Any reason I should leave a block of time open say Thursday?	 question	dialogue act
49_12	I couldn't do it.	 answer	dialogue act
49_13	You couldn't do it?!	 question	dialogue act
49_14	Hey, relax I just need more time. We're going to dinner tonight.	 answer	dialogue act
49_17	Uh, Dana Keystone from college.	 answer	dialogue act
49_18	Oh yeah! Wasn't she uh	 others	dialogue act
49_20	Joey! You didn't even know her!	 statement-non-opinion	dialogue act
49_21	Ah whatever!	 others	dialogue act
50_1	Don't touch him!	 command	dialogue act
50_2	Okay!	 agreement	dialogue act
50_3	All right.	 statement-non-opinion	dialogue act
50_4	Umm, all right Wayne, level with me.	 statement-non-opinion	dialogue act
50_6	Okay, they even have actors coming in to read for my part!	 statement-non-opinion	dialogue act
50_8	I mean, I love-I love this little guy!	 statement-non-opinion	dialogue act
50_9	Ah-ah!!	 backchannel	dialogue act
50_10	Okay, that's why you didn't want me to touch him right?	 question	dialogue act
50_11	Here you go!	 statement-non-opinion	dialogue act
50_14	I can't believe it!	 statement-non-opinion	dialogue act
50_16	Hey, how you doin'?	 question	dialogue act
51_0	Hey.	 greeting	dialogue act
51_1	Hi. Look um, about what happened earlier...	 statement-non-opinion	dialogue act
51_2	No, hey, well, I-I completely understand. You were, you were stressed.	 statement-opinion	dialogue act
51_3	I was gonna give you a chance to apologise to me.	 statement-non-opinion	dialogue act
51_5	You had no	 others	dialogue act
51_6	Yeah, well excuse me for wanting to be with my girlfriend on our anniversary, boy what an ass am I.	 statement-non-opinion	dialogue act
51_7	But I told you, I didn't have the time!	 statement-non-opinion	dialogue act
51_8	Yeah, well you never have the time. I mean, I don't feel like I even have a girlfriend anymore, Rachel.	 statement-non-opinion	dialogue act
52_0	I know.	 agreement	dialogue act
52_1	Ooh, I have to tell you something.	 statement-non-opinion	dialogue act
52_2	What?	 question	dialogue act
52_3	But I can't tell you.	 answer	dialogue act
52_4	Okay, but wouldn't it be easier if you had to tell me something that you could tell me.	 statement-opinion	dialogue act
52_6	Okay. Does it have to do with Ross and Rachel?	 question	dialogue act
52_7	No.	 answer	dialogue act
52_9	No.	 answer	dialogue act
52_10	Does it have to do with-with Chandler and that sock that he keeps by his bed?	 question	dialogue act
52_11	No, but let's come back to that later!	 answer	dialogue act
53_0	Hi!	 greeting	dialogue act
53_1	Richard!	 others	dialogue act
53_2	Actually, I'm not here to complement the chef.	 statement-non-opinion	dialogue act
53_3	Ohh... Oh, that's okay I hate when people come back to complement the chef.	 statement-opinion	dialogue act
53_5	So what's up?	 question	dialogue act
53_6	Well, it was great seeing you the other night.	 answer	dialogue act
53_8	No! I came here to tell you something else.  I came here  to tell you I still love you.	 answer	dialogue act
54_1	So forcing her to marry Bobby is gonna make that happen?	 question	dialogue act
54_3	Joey, I am scared to death about this.	 statement-non-opinion	dialogue act
54_4	But I really think I can do it, I'm just gonna need some help.	 statement-opinion	dialogue act
54_5	And Bobby's gonna be here the whole time.	 statement-non-opinion	dialogue act
54_8	Because! 'Cause... 'Cause you're my baby sister!	 answer	dialogue act
54_10	I mean, you're my favorite guy in the whole world.	 statement-opinion	dialogue act
54_11	I'm not even scared to tell mom and dad.	 statement-non-opinion	dialogue act
54_12	I was scared of telling you.	 statement-non-opinion	dialogue act
54_13	Well I'd be scared of them, but all right.	 statement-opinion	dialogue act
54_15	I want him to have his uncle.	 statement-non-opinion	dialogue act
54_16	Is my baby gonna have his Uncle Joey?	 question	dialogue act
54_17	Of course he's gonna have his Uncle Joey!	 answer	dialogue act
54_18	We're gonna be all right. I mean, even if we're not married this baby is gonna be so loved. Not just by us.	 statement-opinion	dialogue act
54_19	That's right! By his uncle too!	 agreement	dialogue act
54_20	And by you.	 others	dialogue act
54_21	Okay Bobby, why don't we just come over here and let them have a little moment.	 statement-non-opinion	dialogue act
54_22	Come here!	 command	dialogue act
54_23	No! Seriously! What's wrong with you?!	 question	dialogue act
55_0	I had a really nice time tonight.	 statement-non-opinion	dialogue act
55_1	So did I. I'm really glad Monica asked us out.	 agreement	dialogue act
55_2	I'd love to ask you in, but uh, my sister's visiting and I think she's asleep on the couch.	 statement-opinion	dialogue act
55_3	You're sister? You're sister's asleep on the couch?  Ohhh! I saw	 statement-non-opinion	dialogue act
55_6	Nice to meet you. I wish you'd told me we were having company, I'd fix myself up!	 statement-opinion	dialogue act
55_7	Like it would help.	 statement-non-opinion	dialogue act
55_8	You are so bad!	 statement-non-opinion	dialogue act
55_10	You are!	 others	dialogue act
55_11	You are!	 others	dialogue act
55_12	You are!	 others	dialogue act
55_13	You are!	 others	dialogue act
55_14	You are!	 others	dialogue act
56_0	Oh my God, it's that Victoria's Secret model. Something... something Goodacre.	 statement-non-opinion	dialogue act
56_1	Hi Mom, it's Jill.	 greeting	dialogue act
56_2	She's right, it's Jill. Jill Goodacre. Oh my God. I am trapped in an ATM vestibule with Jill Goodacre!	 statement-non-opinion	dialogue act
56_4	Jill says vestibule... I'm going with vestibule.	 statement-non-opinion	dialogue act
56_5	I'm fine. No, I'm not alone... I don't know, some guy.	 statement-non-opinion	dialogue act
56_6	Oh! Some guy. Some guy. 'Hey Jill, I saw you with some guy last night. Yes, he was	 statement-non-opinion	dialogue act
57_3	I'm not-I'm not-I'm not gay!	 statement-non-opinion	dialogue act
58_0	Personal shopping? What is that? Like where you walk around with snooty rich people and tell them what to buy?	 question	dialogue act
58_1	Uh-huh.	 backchannel	dialogue act
58_2	That sounds great!	 agreement	dialogue act
58_4	Umm, excuse me, we switched apartments. You can't eat are food anymore, that-that gravy train had ended.	 statement-non-opinion	dialogue act
58_5	There's gravy?	 question	dialogue act
58_7	That fridge has got to be stocked, okay, that's your department now.	 statement-non-opinion	dialogue act
58_8	What are you doing?	 question	dialogue act
58_9	I think I left a donut up here.	 answer	dialogue act
59_0	So, in conclusion, the lines all go up , so I'm happy.	 statement-opinion	dialogue act
59_1	Great job team!	 apology	dialogue act
59_4	Nice job.	 apology	dialogue act
59_7	Joel-burg, you maniac!	 others	dialogue act
